geoid20,countyfp20,namelsad20,statefp20,tractce20,intptlat20,name20,funcstat20,intptlon20,mtfcc20,aland20,awater20,objectid
25025140202,025,Census Tract,25,140202,+42.2495181,1402.02,S,-071.1175430,G5020,1538599,17120,1
25025140300,025,Census Tract,25,140300,+42.2587734,1403,S,-071.1188131,G5020,1548879,38736,2
25025140400,025,Census Tract,25,140400,+42.2692219,1404,S,-071.1118088,G5020,1874512,11680,3
25025140106,025,Census Tract,25,140106,+42.2738738,1401.06,S,-071.1371416,G5020,278837,3116,4
25025110201,025,Census Tract,25,110201,+42.2804960,1102.01,S,-071.1170508,G5020,348208,0,5
25025980700,025,Census Tract,25,980700,+42.2614817,9807,S,-071.1375704,G5020,2888945,53061,6
25025080601,025,Census Tract,25,080601,+42.3333769,806.01,S,-071.0880443,G5020,561665,0,7
25025020200,025,Census Tract,25,020200,+42.3602609,202,S,-071.0685049,G5020,108297,0,8
25025030200,025,Census Tract,25,030200,+42.3646862,302,S,-071.0570125,G5020,58261,0,9
25025030400,025,Census Tract,25,030400,+42.3637112,304,S,-071.0536706,G5020,165170,0,10
25025040200,025,Census Tract,25,040200,+42.3769050,402,S,-071.0567739,G5020,141296,0,11
25025040300,025,Census Tract,25,040300,+42.3787362,403,S,-071.0633901,G5020,279606,0,12
25025050200,025,Census Tract,25,050200,+42.3775778,502,S,-071.0357577,G5020,243271,0,13
25025050300,025,Census Tract,25,050300,+42.3722392,503,S,-071.0434118,G5020,355332,364090,14
25025050400,025,Census Tract,25,050400,+42.3682184,504,S,-071.0379019,G5020,131981,0,15
25025050600,025,Census Tract,25,050600,+42.3719233,506,S,-071.0372787,G5020,171854,0,16
25025050700,025,Census Tract,25,050700,+42.3753741,507,S,-071.0332347,G5020,267935,0,17
25025010104,025,Census Tract,25,010104,+42.3494300,101.04,S,-071.0937493,G5020,281681,5013,18
25025010702,025,Census Tract,25,010702,+42.3518383,107.02,S,-071.0755131,G5020,300176,0,19
25025010801,025,Census Tract,25,010801,+42.3541707,108.01,S,-071.0769092,G5020,132039,0,20
25025010403,025,Census Tract,25,010403,+42.3450750,104.03,S,-071.0880611,G5020,88555,0,21
25025051200,025,Census Tract,25,051200,+42.3644480,512,S,-071.0364673,G5020,429412,493577,22
25025060200,025,Census Tract,25,060200,+42.3325583,602,S,-071.0326799,G5020,170385,0,23
25025060400,025,Census Tract,25,060400,+42.3323988,604,S,-071.0428981,G5020,399279,0,24
25025060700,025,Census Tract,25,060700,+42.3385217,607,S,-071.0539041,G5020,128227,0,25
25025060800,025,Census Tract,25,060800,+42.3353908,608,S,-071.0514885,G5020,343013,0,26
25025061000,025,Census Tract,25,061000,+42.3317196,610,S,-071.0499288,G5020,159578,0,27
25025070700,025,Census Tract,25,070700,+42.3458828,707,S,-071.0761507,G5020,162697,0,28
25025060101,025,Census Tract,25,060101,+42.3347618,601.01,S,-071.0279302,G5020,295623,0,29
25025000503,025,Census Tract,25,000503,+42.3396411,5.03,S,-071.1500865,G5020,139947,0,30
25025981300,025,Census Tract,25,981300,+42.3615186,9813,S,-071.0073933,G5020,6986630,2032636,31
25025010300,025,Census Tract,25,010300,+42.3394220,103,S,-071.1018257,G5020,507208,0,32
25025981100,025,Census Tract,25,981100,+42.2879942,9811,S,-071.1034042,G5020,2499660,19090,33
25025981800,025,Census Tract,25,981800,+42.3231248,9818,S,-071.1169865,G5020,714839,371484,34
25025981700,025,Census Tract,25,981700,+42.3550969,9817,S,-071.0657367,G5020,313765,14973,35
25025981201,025,Census Tract,25,981201,+42.3289903,9812.01,S,-071.0346023,G5020,799562,1327740,36
25025000701,025,Census Tract,25,000701,+42.3469580,7.01,S,-071.1379847,G5020,230440,0,37
25025000502,025,Census Tract,25,000502,+42.3315048,5.02,S,-071.1574973,G5020,847704,334529,38
25025000601,025,Census Tract,25,000601,+42.3509820,6.01,S,-071.1456705,G5020,495266,0,39
25025060501,025,Census Tract,25,060501,+42.3368686,605.01,S,-071.0382133,G5020,411742,0,40
25025050101,025,Census Tract,25,050101,+42.3816657,501.01,S,-071.0397908,G5020,299770,184516,41
25025110607,025,Census Tract,25,110607,+42.2902453,1106.07,S,-071.1350293,G5020,1124028,0,42
25025120104,025,Census Tract,25,120104,+42.3042695,1201.04,S,-071.1170951,G5020,405800,0,43
25025120201,025,Census Tract,25,120201,+42.3051903,1202.01,S,-071.1083461,G5020,713168,0,44
25025980300,025,Census Tract,25,980300,+42.3006134,9803,S,-071.0946130,G5020,2081297,27540,45
25025000704,025,Census Tract,25,000704,+42.3500028,7.04,S,-071.1334045,G5020,239779,0,46
25025000703,025,Census Tract,25,000703,+42.3513284,7.03,S,-071.1282176,G5020,178001,0,47
25025010802,025,Census Tract,25,010802,+42.3515155,108.02,S,-071.0857007,G5020,156827,0,48
25025010204,025,Census Tract,25,010204,+42.3464726,102.04,S,-071.1034355,G5020,253410,607,49
25025010404,025,Census Tract,25,010404,+42.3419678,104.04,S,-071.0886377,G5020,136909,0,50
25025010405,025,Census Tract,25,010405,+42.3398656,104.05,S,-071.0895958,G5020,364894,0,51
25025081001,025,Census Tract,25,081001,+42.3345574,810.01,S,-071.1068296,G5020,559703,0,52
25025020101,025,Census Tract,25,020101,+42.3577451,201.01,S,-071.0693336,G5020,219375,0,53
25025020301,025,Census Tract,25,020301,+42.3631736,203.01,S,-071.0686464,G5020,262787,528,54
25025020302,025,Census Tract,25,020302,+42.3593442,203.02,S,-071.0639956,G5020,76786,0,55
25025040100,025,Census Tract,25,040100,+42.3730476,401,S,-071.0597515,G5020,264111,62166,56
25025050901,025,Census Tract,25,050901,+42.3819368,509.01,S,-071.0295001,G5020,615897,194140,57
25025051000,025,Census Tract,25,051000,+42.3873027,510,S,-071.0161271,G5020,1043220,210157,58
25025981502,025,Census Tract,25,981502,+42.3958503,9815.02,S,-071.0069705,G5020,1252194,27490,59
25025060301,025,Census Tract,25,060301,+42.3334669,603.01,S,-071.0369483,G5020,272519,0,60
25025080100,025,Census Tract,25,080100,+42.3293312,801,S,-071.0705295,G5020,1026664,0,61
25025061101,025,Census Tract,25,061101,+42.3262844,611.01,S,-071.0542968,G5020,165282,0,62
25025100700,025,Census Tract,25,100700,+42.2826719,1007,S,-071.0479602,G5020,1211115,146231,63
