INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
212012996,1102,,FRAUD - FALSE PRETENSE / SCHEME,B2,259,0,2020-01-01 00:00:00,2020,1,Wednesday,0,,ALEXANDER ST,42.3169424347871,-71.0699121273113,"(42.3169424347871, -71.0699121273113)"
212008096,1107,,FRAUD - IMPERSONATION,A1,118,0,2020-01-01 00:00:00,2020,1,Wednesday,0,,BOYLSTON ST,42.3524181472861,-71.0652549858121,"(42.3524181472861, -71.0652549858121)"
202000034,3006,,SICK/INJURED/MEDICAL - PERSON,C6,201,0,2020-01-01 00:00:00,2020,1,Wednesday,0,,W BROADWAY,42.340069862647,-71.0527942008028,"(42.340069862647, -71.0527942008028)"
202007210,1001,,FORGERY / COUNTERFEITING,C6,200,0,2020-01-01 00:00:00,2020,1,Wednesday,0,,ORTON-MAROTTA WAY,42.3412875043904,-71.054679326494,"(42.3412875043904, -71.054679326494)"
202000355,617,,LARCENY THEFT FROM BUILDING,A1,77,0,2020-01-01 00:00:00,2020,1,Wednesday,0,,FRIEND ST,42.3618385665647,-71.0597648909416,"(42.3618385665647, -71.0597648909416)"
202000596,3115,,INVESTIGATE PERSON,C11,355,0,2020-01-01 00:00:00,2020,1,Wednesday,0,,WILLIAM T MORRISSEY BLVD,42.2975553295965,-71.0597091024257,"(42.2975553295965, -71.0597091024257)"
202014436,3115,,INVESTIGATE PERSON,D4,905,0,2020-01-01 00:00:00,2020,1,Wednesday,0,,E BROOKLINE ST,42.3386963528031,-71.0713987930045,"(42.3386963528031, -71.0713987930045)"
202017021,2647,,THREATS TO DO BODILY HARM,D4,167,0,2020-01-01 00:00:00,2020,1,Wednesday,0,,WASHINGTON ST,42.3395419898301,-71.0694087696754,"(42.3395419898301, -71.0694087696754)"
202015883,1102,,FRAUD - FALSE PRETENSE / SCHEME,B2,282,0,2020-01-01 00:00:00,2020,1,Wednesday,0,,MALCOLM X BLVD,42.3286628355561,-71.0856340118355,"(42.3286628355561, -71.0856340118355)"
202000164,613,,LARCENY SHOPLIFTING,A1,113,0,2020-01-01 00:00:00,2020,1,Wednesday,0,,SUMMER ST,42.3542624707201,-71.0588333416265,"(42.3542624707201, -71.0588333416265)"
202000215,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,E13,577,0,2020-01-01 00:00:00,2020,1,Wednesday,0,,BOYLSTON ST,42.3143368578691,-71.1015154314463,"(42.3143368578691, -71.1015154314463)"
202001968,613,,LARCENY SHOPLIFTING,D4,167,0,2020-01-01 00:00:00,2020,1,Wednesday,0,,HUNTINGTON AVE,42.3395419898301,-71.0694087696754,"(42.3395419898301, -71.0694087696754)"
202000343,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,C11,378,0,2020-01-01 00:00:00,2020,1,Wednesday,0,,ADAMS ST,42.2878721611525,-71.0550632374165,"(42.2878721611525, -71.0550632374165)"
202065961,1107,,FRAUD - IMPERSONATION,B3,465,0,2020-01-01 00:00:00,2020,1,Wednesday,0,,ESMOND ST,42.2848257658049,-71.091373689388,"(42.2848257658049, -71.091373689388)"
202082771,2670,,HARASSMENT/ CRIMINAL HARASSMENT,A7,28,0,2020-01-01 00:00:00,2020,1,Wednesday,0,,MERIDIAN ST,42.3708180467024,-71.0392907813515,"(42.3708180467024, -71.0392907813515)"
202062189,3201,,PROPERTY - LOST/ MISSING,B3,465,0,2020-01-01 00:00:00,2020,1,Wednesday,0,,MULVEY ST,42.2848257658049,-71.091373689388,"(42.2848257658049, -71.091373689388)"
202020843,3201,,PROPERTY - LOST/ MISSING,C11,355,0,2020-01-01 00:00:00,2020,1,Wednesday,0,,WHITTEN ST,42.2975553295965,-71.0597091024257,"(42.2975553295965, -71.0597091024257)"
202034340,2007,,VIOLATION - RESTRAINING ORDER (NO ARREST),B2,319,0,2020-01-01 00:00:00,2020,1,Wednesday,0,,ELM HILL AVE,42.3090194507901,-71.0878911995764,"(42.3090194507901, -71.0878911995764)"
202026005,1102,,FRAUD - FALSE PRETENSE / SCHEME,B2,282,0,2020-01-01 00:00:00,2020,1,Wednesday,0,,LANGDON ST,42.3286628355561,-71.0856340118355,"(42.3286628355561, -71.0856340118355)"
202019597,1107,,FRAUD - IMPERSONATION,B2,282,0,2020-01-01 00:00:00,2020,1,Wednesday,0,,CARDINGTON ST,42.3286628355561,-71.0856340118355,"(42.3286628355561, -71.0856340118355)"
202000058,3006,,SICK/INJURED/MEDICAL - PERSON,A1,94,0,2020-01-01 00:02:00,2020,1,Wednesday,0,,STATE ST,42.35928699659,-71.0537910158254,"(42.35928699659, -71.0537910158254)"
202000004,3108,,FIRE REPORT,E18,481,0,2020-01-01 00:05:00,2020,1,Wednesday,0,,RIVER ST,42.2653651324811,-71.0987281804917,"(42.2653651324811, -71.0987281804917)"
202000002,3201,,PROPERTY - LOST/ MISSING,A1,77,0,2020-01-01 00:10:00,2020,1,Wednesday,0,,TREMONT ST,42.3618385665647,-71.0597648909416,"(42.3618385665647, -71.0597648909416)"
202000016,3803,,M/V ACCIDENT - PERSONAL INJURY,B3, ,0,2020-01-01 00:11:00,2020,1,Wednesday,0,,"AMERICAN LEGION HWY & BLUE HILL AVENUE
BOSTON  MA ",42.2982179931732,-71.0870080417185,"(42.2982179931732, -71.0870080417185)"
202000006,3803,,M/V ACCIDENT - PERSONAL INJURY,B2, ,0,2020-01-01 00:11:00,2020,1,Wednesday,0,,JEWISH WAR VETERANS DR,42.3036504502254,-71.0912916538697,"(42.3036504502254, -71.0912916538697)"
202000073,801,,ASSAULT - SIMPLE,D4,142,0,2020-01-01 00:17:00,2020,1,Wednesday,0,,GLOUCESTER ST,42.3485663088498,-71.0838512803938,"(42.3485663088498, -71.0838512803938)"
202000100,3201,,PROPERTY - LOST/ MISSING,C6,167,0,2020-01-01 00:30:00,2020,1,Wednesday,0,,SEAPORT BLVD,42.3395419898301,-71.0694087696754,"(42.3395419898301, -71.0694087696754)"
202000044,3410,,TOWED MOTOR VEHICLE,B3,438,0,2020-01-01 00:33:00,2020,1,Wednesday,0,,COLONIAL AVE,42.2904092305906,-71.0769357427754,"(42.2904092305906, -71.0769357427754)"
202000196,3115,,INVESTIGATE PERSON,C6,913,0,2020-01-01 00:40:00,2020,1,Wednesday,0,,HARBOR POINT BLVD,42.3186900044621,-71.0436019887266,"(42.3186900044621, -71.0436019887266)"
202000026,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,C11,345,0,2020-01-01 00:44:00,2020,1,Wednesday,0,,WESTVILLE ST,42.3021537147299,-71.0628785902945,"(42.3021537147299, -71.0628785902945)"
202000008,801,,ASSAULT - SIMPLE,D4,623,0,2020-01-01 00:50:00,2020,1,Wednesday,0,,COMMONWEALTH AVE,42.3487757491561,-71.0960680465352,"(42.3487757491561, -71.0960680465352)"
202000012,3802,,M/V ACCIDENT - PROPERTY DAMAGE,D4, ,0,2020-01-01 00:50:00,2020,1,Wednesday,0,,"BERKELEY ST & BEACON ST
BOSTON  MA 02116
UNITED ST",42.3548089975039,-71.0747959679578,"(42.3548089975039, -71.0747959679578)"
202000042,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,305,0,2020-01-01 00:51:00,2020,1,Wednesday,0,,TOWNSEND ST,42.3191711031445,-71.091924145165,"(42.3191711031445, -71.091924145165)"
202000007,3820,,M/V ACCIDENT - INVOLVING PEDESTRIAN - INJURY,D4, ,0,2020-01-01 00:56:00,2020,1,Wednesday,0,,"HUNTINGTON AVE & EXETER ST
BOSTON  MA 02116
UNITED",42.3477969661258,-71.0787029403239,"(42.3477969661258, -71.0787029403239)"
202009809,3201,,PROPERTY - LOST/ MISSING,C11,355,0,2020-01-01 01:00:00,2020,1,Wednesday,1,,GIBSON ST,42.2975553295965,-71.0597091024257,"(42.2975553295965, -71.0597091024257)"
202000375,614,,LARCENY THEFT FROM MV - NON-ACCESSORY,A15,41,0,2020-01-01 01:00:00,2020,1,Wednesday,1,,ELM ST,42.3766316681323,-71.0559319549787,"(42.3766316681323, -71.0559319549787)"
202000154,801,,ASSAULT - SIMPLE,C6,213,0,2020-01-01 01:00:00,2020,1,Wednesday,1,,DORCHESTER ST,42.3356066546623,-71.0452692152762,"(42.3356066546623, -71.0452692152762)"
202000125,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,C6,200,0,2020-01-01 01:00:00,2020,1,Wednesday,1,,E SIXTH ST,42.3412875043904,-71.054679326494,"(42.3412875043904, -71.054679326494)"
120200013,2403,,DISTURBING THE PEACE/ DISORDERLY CONDUCT/ GATHERING CAUSING ANNOYANCE/ NOISY PAR,A1,84,0,2020-01-01 01:02:00,2020,1,Wednesday,1,,HANOVER ST,42.364167810862,-71.0540704075518,"(42.364167810862, -71.0540704075518)"
202000010,801,,ASSAULT - SIMPLE,C11,344,0,2020-01-01 01:03:00,2020,1,Wednesday,1,,DORCHESTER AVE,42.3009800930078,-71.0686992750344,"(42.3009800930078, -71.0686992750344)"
202000011,3115,,INVESTIGATE PERSON,E5,941,0,2020-01-01 01:05:00,2020,1,Wednesday,1,,ARCHDALE RD,42.291722094308,-71.1196546024216,"(42.291722094308, -71.1196546024216)"
202000472,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,C11,574,0,2020-01-01 01:11:00,2020,1,Wednesday,1,,DORCHESTER AVE,42.3097185676727,-71.1042943178765,"(42.3097185676727, -71.1042943178765)"
202000017,3114,,INVESTIGATE PROPERTY,A15,54,0,2020-01-01 01:14:00,2020,1,Wednesday,1,,SULLIVAN ST,42.3780534504528,-71.0667665484088,"(42.3780534504528, -71.0667665484088)"
202000095,617,,LARCENY THEFT FROM BUILDING,A7,27,0,2020-01-01 01:16:00,2020,1,Wednesday,1,,NEW ST,42.3712952953227,-71.0434237705034,"(42.3712952953227, -71.0434237705034)"
202000015,2907,,VAL - OPERATING AFTER REV/SUSP.,B2,321,0,2020-01-01 01:20:00,2020,1,Wednesday,1,,WARREN ST,42.3115860374348,-71.082953180364,"(42.3115860374348, -71.082953180364)"
202000022,301,,ROBBERY,D14, ,0,2020-01-01 01:40:00,2020,1,Wednesday,1,,COMMONWEALTH AVE,42.3507396316499,-71.1304790941051,"(42.3507396316499, -71.1304790941051)"
202000019,801,,ASSAULT - SIMPLE,D4, ,0,2020-01-01 01:40:00,2020,1,Wednesday,1,,"LANSDOWNE ST & BROOKLINE AVE
BOSTON  MA 02215
UNIT",42.3472390089263,-71.0984930034639,"(42.3472390089263, -71.0984930034639)"
202000021,3006,,SICK/INJURED/MEDICAL - PERSON,A1,117,0,2020-01-01 01:43:00,2020,1,Wednesday,1,,STUART ST,42.3510310459293,-71.0637333102007,"(42.3510310459293, -71.0637333102007)"
202000020,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,B3, ,0,2020-01-01 02:00:00,2020,1,Wednesday,2,,"WASHINGTON ST & MORTON ST
BOSTON  MA 02124
UNITED ",42.2738140002141,-71.0701219653722,"(42.2738140002141, -71.0701219653722)"
202000360,3201,,PROPERTY - LOST/ MISSING,B2,318,0,2020-01-01 02:00:00,2020,1,Wednesday,2,,"HUMBOLDT AVE & HUTCHINGS ST
ROXBURY  MA 02121
UNIT",42.3111660196514,-71.0910890406281,"(42.3111660196514, -71.0910890406281)"
202000248,3201,,PROPERTY - LOST/ MISSING,A1,77,0,2020-01-01 02:00:00,2020,1,Wednesday,2,,FRIEND ST,42.3618385665647,-71.0597648909416,"(42.3618385665647, -71.0597648909416)"
202000053,3005,,SICK ASSIST,A1,128,0,2020-01-01 02:00:00,2020,1,Wednesday,2,,CORTES ST,42.3482769757336,-71.0703893239934,"(42.3482769757336, -71.0703893239934)"
202000222,540,,BURGLARY - COMMERICAL,B2,587,0,2020-01-01 02:00:00,2020,1,Wednesday,2,,PARKER ST,42.3308332666321,-71.0975750424476,"(42.3308332666321, -71.0975750424476)"
202000029,2403,,DISTURBING THE PEACE/ DISORDERLY CONDUCT/ GATHERING CAUSING ANNOYANCE/ NOISY PAR,C6,206,0,2020-01-01 02:00:00,2020,1,Wednesday,2,,SEAPORT BLVD,42.3527561677271,-71.0474812747929,"(42.3527561677271, -71.0474812747929)"
202000023,1402,,VANDALISM,C11,340,1,2020-01-01 02:05:00,2020,1,Wednesday,2,,DRAPER ST,42.3054071480068,-71.0654713515291,"(42.3054071480068, -71.0654713515291)"
202000055,3301,,VERBAL DISPUTE,C11,363,0,2020-01-01 02:07:00,2020,1,Wednesday,2,,CENTRE ST,42.294265950315,-71.0596848698717,"(42.294265950315, -71.0596848698717)"
202000027,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,D4,149,0,2020-01-01 02:12:00,2020,1,Wednesday,2,,COLUMBUS AVE,42.3440235006257,-71.0775490012228,"(42.3440235006257, -71.0775490012228)"
202000025,3115,,INVESTIGATE PERSON,A1,125,0,2020-01-01 02:12:00,2020,1,Wednesday,2,,STUART ST,42.3506443842422,-71.068115835099,"(42.3506443842422, -71.068115835099)"
202000039,801,,ASSAULT - SIMPLE,C6,206,0,2020-01-01 02:14:00,2020,1,Wednesday,2,,SEAPORT BLVD,42.3527561677271,-71.0474812747929,"(42.3527561677271, -71.0474812747929)"
202000050,520,,BURGLARY - RESIDENTIAL,B3,469,0,2020-01-01 02:16:00,2020,1,Wednesday,2,,TENNIS RD,42.2761569125616,-71.0955030303829,"(42.2761569125616, -71.0955030303829)"
202000028,3301,,VERBAL DISPUTE,E13,582,0,2020-01-01 02:19:00,2020,1,Wednesday,2,,WESTERLY ST,42.3231175277186,-71.1066622006482,"(42.3231175277186, -71.1066622006482)"
202000045,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,261,0,2020-01-01 02:21:00,2020,1,Wednesday,2,,"BROOK AVE & W COTTAGE ST
DORCHESTER  MA 02125
UNIT",42.3207540089697,-71.074060028965,"(42.3207540089697, -71.074060028965)"
202000202,1402,,VANDALISM,E5,676,0,2020-01-01 02:30:00,2020,1,Wednesday,2,,EDGEMONT ST,42.2883854824922,-71.1413014405369,"(42.2883854824922, -71.1413014405369)"
202000036,2101,,OPERATING UNDER THE INFLUENCE (OUI) ALCOHOL,D14, ,0,2020-01-01 02:31:00,2020,1,Wednesday,2,,"N HARVARD ST & CAMBRIDGE ST
BRIGHTON  MA 02134
UNI",42.3579509918552,-71.1264869491598,"(42.3579509918552, -71.1264869491598)"
202000033,520,,BURGLARY - RESIDENTIAL,C11,243,0,2020-01-01 02:31:00,2020,1,Wednesday,2,,PLEASANT ST,42.3174173976364,-71.0591691605584,"(42.3174173976364, -71.0591691605584)"
202000051,3502,,MISSING PERSON - LOCATED,D4,619,0,2020-01-01 02:31:00,2020,1,Wednesday,2,,WESTLAND AVE,42.343764582134,-71.0886686541407,"(42.343764582134, -71.0886686541407)"
202000041,3802,,M/V ACCIDENT - PROPERTY DAMAGE,B2, ,0,2020-01-01 02:37:00,2020,1,Wednesday,2,,"DUDLEY ST & W COTTAGE ST
DORCHESTER  MA 02119
UNIT",42.321365001066,-71.0722070495193,"(42.321365001066, -71.0722070495193)"
202000043,2647,,THREATS TO DO BODILY HARM,C6,206,0,2020-01-01 02:40:00,2020,1,Wednesday,2,,FAN PIER BLVD,42.3533238254021,-71.04573775216,"(42.3533238254021, -71.04573775216)"
202000049,3301,,VERBAL DISPUTE,A1,64,0,2020-01-01 02:59:00,2020,1,Wednesday,2,,CHARLES ST,42.3619279176495,-71.0708197355872,"(42.3619279176495, -71.0708197355872)"
202001369,801,,ASSAULT - SIMPLE,D4,273,0,2020-01-01 03:00:00,2020,1,Wednesday,3,,WASHINGTON ST,42.3362194063374,-71.0773376079116,"(42.3362194063374, -71.0773376079116)"
202000062,301,,ROBBERY,D4,171,0,2020-01-01 03:00:00,2020,1,Wednesday,3,,"725 ALBANY ST
BOSTON  MA 02118
UNITED STATES",42.3342884065942,-71.072395175438,"(42.3342884065942, -71.072395175438)"
202000047,3301,,VERBAL DISPUTE,E5,741,0,2020-01-01 03:22:00,2020,1,Wednesday,3,,LASELL ST,42.2873612622954,-71.1689514352696,"(42.2873612622954, -71.1689514352696)"
